name,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,,28,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,1,31,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1790000,57995,0,1.11,5.5,11.3,1,,30.92,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1290000,57995,0,1.11,5.5,11.3,1,1,31,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1500000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1700000,57995,0,1.11,5.5,11.3,1,,30.08,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1250000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1350000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1240000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1250000,57995,0,1.11,5.5,11.3,1,1,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1250000,57995,0,1.11,5.5,11.3,1,1,31,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1800000,57995,0,1.11,5.5,11.3,1,1,31,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1450000,57995,0,1.11,5.5,11.3,1,,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1300000,57995,0,1.11,5.5,11.3,1,1,21,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1390000,57995,0,1.11,5.5,11.3,1,,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1350000,57995,0,1.11,5.5,11.3,1,,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
Wongwaen Complex,Bang Bon,480000,,,,,,,,,12,1,1992,1,1,1,1,1,0,0,0,1,1,0,0,9400,4000,0,0
J Condo Sathorn - Kallaprapruk,Bang Bon,1350000,57995,0,1.11,5.5,11.3,1,,30,25,1,2017,1,1,1,1,1,0,1,1,1,0,0,0,6600,6200,0,0
Urbana Sukhumvit 15,Bang Kapi,17000000,107143,0,8.65,3.96,7.6,3,2,140,8,1,2004,1,1,1,1,1,1,1,0,0,0,0,0,10000,6700,0,0
Urbana Sukhumvit 15,Bang Kapi,11932288,107143,0,8.65,3.96,7.6,1,1,150.83,8,1,2004,1,1,1,1,1,1,1,0,0,0,0,0,10000,6700,0,0
Urbana Sukhumvit 15,Bang Kapi,12000000,107143,0,8.65,3.96,7.6,2,2,110,8,1,2004,1,1,1,1,1,1,1,0,0,0,0,0,10000,6700,0,0
KNIGHTSBRIDGE COLLAGE RAMKHAMHAENG,Bang Kapi,3000000,133476,0,-13.49,4.31,13.24,1,1,32,25,1,2020,1,1,1,1,1,0,1,1,0,0,0,0,,,0,0
KNIGHTSBRIDGE COLLAGE RAMKHAMHAENG,Bang Kapi,6950000,133476,0,-13.49,4.31,13.24,2,1,43,25,1,2020,1,1,1,1,1,0,1,1,0,0,0,0,,,0,0
Supalai Veranda Ramkhamhaeng,Bang Kapi,3625148,58310,0,4.42,7.31,-94.46,1,1,40,,1,,0,1,1,0,1,0,0,1,0,0,0,0,7600,3700,0,0
IDEO New Rama 9,Bang Kapi,3490000,98798,-18.09,-19.2,3.91,-29.07,1,1,26,24,1,2020,1,1,1,1,1,0,1,1,1,1,0,0,4800,1100,0,0
