id,Name,lat,long
109,Baan Siri 24,13.7261917,100.5679446
110,Baan Siri 31,13.7378837,100.5663373
111,Baan Siri Ruedee,13.7412308,100.5497264
112,Baan Siri Sathorn,13.7172747,100.547411
113,Baan Siri Sathorn Suanplu,13.70865711,100.5383717
114,Baan Siri Silom,13.7206227,100.5211907
115,Baan Siri Sukhumvit 10,13.7370581,100.5568615
116,Baan Siri Sukhumvit 13,13.74749,100.5583765
117,Baan Siriyenakat,13.7165785,100.5469013
118,Baan Somthavil,13.7390897,100.5406057
119,Baan Suan Bangkhen,13.880281,100.6125189
120,Baan Suan Sue Trong,13.7926183,100.6174453
121,Baan Suan Sukhothai,13.7813215,100.5116243
122,Baan Suan Sukhumvit,13.7065113,100.6323191
123,Baan Suanpetch,13.7317549,100.5713964
124,Baan Suanthon Ratchada,13.8266999,100.5833249
125,Baan Sukhothai Ramkhamhaeng,13.7580516,100.6342848
126,Baan Sukhumvit,13.718449,100.5734741
127,Baan Sukhumvit 77,13.720672,100.6159876
128,Baan Suksan,13.7429678,100.5647854
129,Baan Tri - wit,13.8242097,100.6187746
130,Baan Vipavee,13.8027565,100.5610128
131,Baan Yen Akard,13.7114919,100.5436363
132,Baanruenrom Bangna,13.670195,100.6429464
133,Bang Ao Riverside,13.8040438,100.5137742
134,Bangkhae Condotown,13.7131257,100.4221137
135,Bangkhunnon Rimnam,13.777224,100.458625
136,Bangkok Feliz @ Krungthonburi Station,13.7223259,100.5043027
137,Bangkok Feliz Bangkae Station,13.7108229,100.4198198
138,Bangkok Feliz Major Ratchayothin,13.8292797,100.5701555
139,Bangkok Feliz Sathorn - Taksin,13.7218616,100.5048338
140,Bangkok Feliz Sukhumvit 69,13.715547,100.5920347
141,Bangkok Feliz Vibhavadi 30,13.8231767,100.5629152
142,Bangkok Garden,13.7016142,100.5359646
143,Bangkok Horizon P 48,13.7157169,100.44563
144,Bangkok Horizon Phetkasem,13.7137949,100.4411845
145,Bangkok Horizon Ramkhamhaeng,13.7624131,100.6487084
146,Bangkok Horizon Ratchada - Thapra,13.7077113,100.4800817
147,Bangkok Horizon Sathorn,13.7126875,100.5331569
148,Bangkok Noi Waterside,13.7731204,100.4704723
149,Bangkok River Marina,13.7878269,100.5041896
150,Bangna Residence,13.6748357,100.5990921
151,Bangyeekhan Condominium,13.77165582,100.4925661
152,Banyan Tree Residences Bangkok,13.7323659,100.5096466
153,Baxtor Paholyothin 14,13.7866167,100.5529954
154,Be You Chokchai 4,13.7996324,100.5971794
155,BEATNIQ Sukhumvit 32,13.726175,100.575635
156,Belgravia Residences,13.726316,100.5738187
157,Belle Grand Rama 9,13.7600705,100.5691948
158,Belle Park Residence,13.7003888,100.5369971
159,Beverly 33,13.7351585,100.5673572
160,Beverly Hills Mansion,13.7242273,100.588359
161,Beverly Tower Condo,13.7478043,100.5574177
162,Beyond Sukhumvit,13.6765615,100.6031484
163,Bleisure Charan 96/1,13.8061295,100.513077
164,Bliz Condominium Bearing,13.652586,100.6055407
165,Bliz Condominium Ladprao 107,13.7731018,100.6343388
166,Bliz Condominium Rama 9 - Hua Mak,13.7399712,100.6442666
167,Blocs 77,13.7103615,100.6017758
168,Blossom Condo @ Fashion Beyond,13.8185256,100.6793074
169,Blossom Condo @ Sathorn - Charoenrat,13.7108858,100.5199956
170,Bobae Tower,13.7540109,100.5150872
171,Bodin Suite Home,13.7687263,100.6134478
172,Boutique Ratchada 17,13.7849028,100.5697318
173,Bridge Phaholyothin 37,13.8328396,100.5699362
174,Bridge Sathorn - Narathiwas,13.7037512,100.5399795
175,Bright Sukhumvit 24,13.723856,100.5663463
176,Bright Wongwian Yai,13.7195345,100.4905915
177,Brighton Place,13.7484852,100.5886367
178,Brix Condominium,13.783801,100.4936629
179,Brown Condo Phahol - Sapanmai,13.8867122,100.6030703
180,Brown Condo Ratchada 32,13.8183153,100.5846831
181,BTS Residence,13.7957917,100.5581403
182,C Ekkamai,13.7400215,100.5897075
183,C Place Ladprao 18,13.8029727,100.5701438
184,C&C 29 Condo,13.7932951,100.5590716
185,Canapaya Residences,13.68775606,100.5137682
186,Casa Condo Ratchada - Ratchaphruek,13.7134954,100.4763057
187,Casa Condo Ratchada Thapra,13.71364592,100.4772375
188,Casa Condo Sukhumvit 97,13.6979876,100.6067948
189,Casa de Sansara,13.88383741,100.6054632
190,Castle Hill Mansion,13.7260995,100.5864183
191,Ceil by Sansiri,13.7305582,100.5878006
192,Celes Asoke,13.738256,100.5617912
193,Central City East Tower,13.6709981,100.6354484
194,Central Ratchayothin ParkCondominium,13.828634,100.5703576
195,Centric Ari Station,13.7779571,100.5425685
196,Centric Place Ari 4 - Phaholyothin,13.784213,100.5440174
197,Centric Ratchada - Huai Khwang,13.7804654,100.5739594
198,Centric Ratchada - Suthisan,13.7899246,100.5735133
199,Centric Ratchayothin,13.8319661,100.5713078
200,Centric Sathorn - Saint Louis,13.7188125,100.5271405
201,Centric Scene Aree 2,13.7798662,100.5420748
202,Centric Scene Phaholyothin 9,13.786044,100.5460392
203,Centric Scene Ratchavipha,13.8296909,100.5334406
204,Centric Scene Sukhumvit 64,13.6837594,100.6101751
205,Centurion Park,13.7828157,100.5415125
206,Chalermnit Art De Maison,13.7294947,100.5783541
207,Chambers Chaan Ladprao - Wanghin,13.826403,100.5920239
208,Chambers Cher Ratchada Ramintra,13.820003,100.6673502
209,Chambers On - nut Station,13.7051847,100.6035122
210,Chambers Ramintra,13.8198451,100.6626237
211,Chamchuri Square Residence,13.7332332,100.5294427
212,Chapter Charoennakhorn-Riverside,13.7131349,100.5052584
213,Chapter Chula-Samyan,13.7314662,100.5235101
214,Chapter One,13.7718401,100.5796085
215,Chapter One Flow Bangpo,13.8121895,100.5208307
216,Chapter One Midtown Ladprao 24,13.8064358,100.5726549
217,Chapter One Modern Dutch Ratburana 33,13.6761357,100.518665
218,Chapter One Shine Bangpo,13.81269481,100.5210024
219,Chapter One The Campus Kaset,13.8384901,100.5747007
220,Chapter One the Campus Ladprao 1,13.8140554,100.565229
221,Chapter Thonglor 25,13.7429836,100.5838819
222,Charan Garden,13.7373246,100.4375927
223,Charoenkrung Place,13.6980161,100.4952011
224,Charoennakorn River Place,13.70716,100.4931343
225,Chateau in Town Charansanitwong 96/2,13.8076235,100.5128471
226,Chateau In Town Major Ratchayothin,13.8296227,100.5725917
227,Chateau In Town Major Ratchayothin 2,13.8314587,100.5754448
228,Chateau In Town Phaholyothin 11,13.7877258,100.5445986
229,Chateau In Town Phaholyothin 14,13.785965,100.5491769
230,Chateau In Town Phaholyothin 14 - 2,13.7868844,100.548183
231,Chateau In Town Rama 8,13.7718995,100.4928005
232,Chateau In Town Ratchada 13,13.7821292,100.5709988
233,Chateau In Town Ratchada 17,13.7847332,100.5722244
234,Chateau In Town Ratchada 19,13.799381,100.573846
235,Chateau In Town Ratchada 20,13.7923256,100.5757051
236,Chateau In Town Ratchada 20 - 2,13.7924208,100.5759821
237,CHATEAU IN TOWN RATCHADA 36,13.8210272,100.5885632
238,Chateau In Town Sukhumvit 62/1,13.6926275,100.6053491
239,Chateau in Town Sukhumvit 64,13.6901142,100.6051906
240,Chateau In Town Vibhavadi 10,13.7910999,100.5630956
241,Chateau In Town Vibhavadi 30,13.82306171,100.5624265
242,Chatrium Residence Riverside,13.7108458,100.5095806
243,Chewathai Hallmark Charan 13,13.74047435,100.4667879
244,Chewathai Interchange,13.8062392,100.529729
245,Chewathai Kaset-Nawamin,13.8403102,100.5875648
246,Chewathai Phetkasem 27,13.7178692,100.4538443
247,Chewathai Pinklao,13.7704363,100.4872581
248,Chewathai Ramkamhaeng,13.7619079,100.6329357
249,Chewathai Ratchaprarop,13.76155055,100.5431011
250,Chewathai Residence Asoke,13.7539417,100.5643033
251,Chewathai Residence Bang Pho,13.8061047,100.5223715
252,Chidlom Place,13.7483242,100.544346
253,Chrisma Condo Ramintra,13.8276979,100.6754887
254,Ciela Charan 13 Station,13.7407653,100.4702574
255,CIELA Sripatum,13.855937,100.5849566
256,Circle Living Prototype,13.7503655,100.5561816
257,Circle Condominium,13.7496468,100.5558679
258,Circle Rein Sukhumvit 12,13.7356367,100.5577985
259,Circle Sukhumvit 11,13.7458539,100.5560514
260,CitiSmart Sukhumvit 18,13.7347952,100.5622594
261,City Home Ratchada,13.7716035,100.5759945
262,City Home Ratchada - Pinklao,13.8053355,100.5104014
263,City Home Srinakarin,13.6549448,100.6477593
264,City Home Sukhumvit,13.6808551,100.6108019
265,City Home Tha - Phra Intersection,13.7284513,100.4740986
266,City Lakes Tower Sukhumvit 16,13.7336812,100.5610784
267,City Living Ratchada,13.7710911,100.5764031
268,City Room Ratchada - Suthisan,13.7900239,100.5725431
269,City Villa,13.77093713,100.6295606
270,Click Condo Sukhumvit 65,13.7225769,100.5878896
271,Cloud Residences SKV 23,13.7389082,100.5648995
272,CLOUD Thonglor-Phetchaburi,13.746375,100.5766627
273,Clover Ladprao 83,13.7872679,100.6140293
274,COCO Parc,13.722191,100.5534419
275,Collezio Sathorn - Pipat,13.7234511,100.5317561
276,Commonwealth Pinklao,13.7766602,100.4841333
277,Condo One Ladprao 15,13.8091656,100.5708353
278,Condo One Sathorn,13.7125,100.549036
279,Condo One Siam,13.7489761,100.5275199
280,Condo One Soho,13.7362913,100.5141998
281,Condo One Sukhumvit 52,13.7039946,100.5996251
282,Condo One Sukhumvit 67,13.7182706,100.5900997
283,Condo One Thonglor,13.7216579,100.5804701
284,Condo One X Sathorn - Narathiwat,13.7000418,100.5357145
285,Condo One X Sukhumvit 26,13.725074,100.5688826
286,Condo U @ Huamak Station,13.7509467,100.6362283
287,Condo U Kaset Nawamin,13.8377365,100.5824566
288,Condo U Ratchayothin,13.8348742,100.5809208
289,Condo U Vibha - Ladprao,13.8028256,100.5618085
290,Condolette Dwell Sukhumvit 26,13.7257145,100.5708737
291,Condolette Ize Ratchathewi,13.7533166,100.5309042
292,Condolette Light Convent,13.7250498,100.533078
293,Condolette Midst Rama 9,13.7556667,100.5663737
