name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Origins Rama 2,Chom Thong,13.6541566,100.4238971,1108000.0,48384.0,0.0,0.0,4.5,0.0,1.0,1.0,30.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,2373000.0,48384.0,0.0,0.0,4.5,0.0,1.0,1.0,60.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,2596000.0,48384.0,0.0,0.0,4.5,0.0,2.0,2.0,60.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,2590000.0,48384.0,0.0,0.0,4.5,0.0,2.0,1.0,60.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Origins Rama 2,Chom Thong,13.6541566,100.4238971,2500000.0,48384.0,0.0,0.0,4.5,0.0,1.0,1.0,40.0,8.0,2.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5800.0,6100.0,0.0,0.0
Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,2100000.0,73366.0,0.0,0.8,4.8,-1.7,1.0,1.0,35.0,8.0,2.0,2018.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5300.0,6600.0,0.0,0.0
Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,2400000.0,73366.0,0.0,0.8,4.8,-1.7,1.0,1.0,27.0,8.0,2.0,2018.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5300.0,6600.0,0.0,0.0
Aspen Condo Lasalle,Bang Na,13.6553479,100.6463239,3599000.0,73366.0,0.0,0.8,4.8,-1.7,2.0,2.0,48.0,8.0,2.0,2018.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5300.0,6600.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2250000.0,74468.0,48.3,23.8,4.8,16.9,2.0,2.0,47.7,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1790000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,28.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2700000.0,74468.0,48.3,23.8,4.8,16.9,2.0,2.0,47.7,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1820000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,32.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2140000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,32.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1400000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,30.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1400000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,31.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1390000.0,74468.0,48.3,23.8,4.8,16.9,1.0,1.0,32.0,8.0,6.0,2013.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3800.0,4800.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,2200000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,32.0,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,2440000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,36.0,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,1590000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,24.4,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,2700000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,32.0,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,1650000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,26.2,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,3200000.0,72764.0,0.0,-7.9,5.5,7.1,2.0,1.0,35.1,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Villa Lasalle,Bang Na,13.6601525,100.6112504,2500000.0,72764.0,0.0,-7.9,5.5,7.1,1.0,1.0,32.5,8.0,2.0,2016.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,1350000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.5,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,890000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
