"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"Bangkok Horizon Ramkhamhaeng","Bang Kapi",6090000.0,49540.0,0.0,-16.68,8.96,56.12,2.0,2.0,94.55,38.0,1.0,2010.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9400.0,5800.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.1E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,114.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.34E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,105.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Inspire Place ABAC - Rama IX","Bang Kapi",5276471.0,44759.0,0.0,-8.25,6.11,-5.79,3.0,2.0,115.0,19.0,2.0,2006.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7400.0,2700.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",2800000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,26.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"Lumpini Center Nawamin","Bang Kapi",990000.0,45222.0,0.0,15.44,5.28,-11.16,1.0,1.0,23.0,8.0,3.0,2006.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10000.0,6500.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.05E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,114.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.59E7,107143.0,0.0,8.65,3.96,7.6,3.0,3.0,140.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.59E7,107143.0,0.0,8.65,3.96,7.6,3.0,3.0,140.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.05E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,114.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
